acc	subtype	type
79974	1.1	entrez
11149	1.1	entrez
256691	1.1	entrez
79971	1.1	entrez
93649	1.1	entrez
147372	1.1	entrez
9201	1.1	entrez
286133	1.1	entrez
27086	1.1	entrez
54796	1.1	entrez
220108	1.1	entrez
145270	1.1	entrez
27115	1.1	entrez
257019	1.1	entrez
148741	1.1	entrez
100628315	1.1	entrez
401093	1.1	entrez
221662	1.1	entrez
7057	1.1	entrez
93986	1.1	entrez
57381	1.1	entrez
6546	1.1	entrez
150763	1.1	entrez
27303	1.1	entrez
775	1.1	entrez
400550	1.1	entrez
285382	1.1	entrez
100128252	1.1	entrez
85004	1.1	entrez
85352	1.1	entrez
163071	1.2	entrez
554202	1.2	entrez
54509	1.2	entrez
7298	1.2	entrez
2530	1.2	entrez
130340	1.2	entrez
54464	1.2	entrez
84978	1.2	entrez
301	1.2	entrez
5214	1.2	entrez
5315	1.2	entrez
2026	1.2	entrez
3675	1.2	entrez
684	1.2	entrez
26509	1.2	entrez
4599	1.2	entrez
25937	1.2	entrez
10123	1.2	entrez
3429	1.2	entrez
2305	1.2	entrez
3383	1.2	entrez
9123	1.2	entrez
5836	1.2	entrez
857	1.2	entrez
51363	1.2	entrez
3434	1.2	entrez
11103	1.2	entrez
858	1.2	entrez
1969	1.2	entrez
10974	1.2	entrez
2537	1.2	entrez
8061	1.2	entrez
5803	1.2	entrez
3690	1.2	entrez
7020	1.2	entrez
3437	1.2	entrez
355	1.2	entrez
6236	1.2	entrez
1890	1.2	entrez
8406	1.2	entrez
4939	1.2	entrez
3976	1.2	entrez
9636	1.2	entrez
22824	1.2	entrez
27074	1.2	entrez
9734	1.2	entrez
8638	1.2	entrez
22885	1.2	entrez
2161	1.2	entrez
3159	1.2	entrez
6300	1.2	entrez
54739	1.2	entrez
4277	1.2	entrez
3902	1.2	entrez
9447	1.2	entrez
10622	1.2	entrez
9748	1.2	entrez
30835	1.2	entrez
9859	1.2	entrez
2317	1.2	entrez
7430	1.2	entrez
998	1.2	entrez
2810	1.2	entrez
114876	1.2	entrez
23657	1.2	entrez
3458	1.2	entrez
9590	1.2	entrez
330	1.2	entrez
23089	1.2	entrez
113146	1.2	entrez
112464	1.2	entrez
57211	1.2	entrez
26278	1.2	entrez
6398	1.2	entrez
91543	1.2	entrez
6355	1.2	entrez
10561	1.2	entrez
4940	1.2	entrez
64866	1.2	entrez
23586	1.2	entrez
11274	1.2	entrez
10855	1.2	entrez
6614	1.2	entrez
79627	1.2	entrez
55212	1.2	entrez
54809	1.2	entrez
79026	1.2	entrez
56829	1.2	entrez
80323	1.2	entrez
81930	1.2	entrez
92815	1.2	entrez
30001	1.2	entrez
29766	1.2	entrez
83666	1.2	entrez
84250	1.2	entrez
56938	1.2	entrez
64073	1.2	entrez
8697	1.2	entrez
81786	1.2	entrez
10170	1.2	entrez
56262	1.2	entrez
399959	1.2	entrez
90102	1.2	entrez
80144	1.2	entrez
284252	1.2	entrez
92737	1.2	entrez
79745	1.2	entrez
219285	1.2	entrez
129607	1.2	entrez
3433	1.2	entrez
30812	1.2	entrez
388115	1.2	entrez
29126	1.2	entrez
4907	1.2	entrez
140576	1.2	entrez
144455	1.2	entrez
79827	1.2	entrez
220042	1.2	entrez
5210	1.2	entrez
84969	1.2	entrez
162417	1.2	entrez
169792	1.2	entrez
6744	1.2	entrez
26270	1.2	entrez
57464	1.2	entrez
84553	1.2	entrez
51088	1.2	entrez
8562	1.2	entrez
54941	1.2	entrez
643977	1.2	entrez
9331	1.2	entrez
119392	1.2	entrez
84959	1.2	entrez
80328	1.2	entrez
135228	1.2	entrez
8797	1.2	entrez
444	1.2	entrez
10634	1.2	entrez
3669	1.2	entrez
283375	1.3	entrez
1056	1.3	entrez
91687	1.3	entrez
29923	1.3	entrez
7429	1.3	entrez
169981	1.3	entrez
30811	1.3	entrez
776	1.3	entrez
4300	1.3	entrez
6659	1.3	entrez
3725	1.3	entrez
10483	1.3	entrez
3930	1.3	entrez
6241	1.3	entrez
1163	1.3	entrez
10160	1.3	entrez
6480	1.3	entrez
4232	1.3	entrez
1512	1.3	entrez
